gender,status,occupation,qualification,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
1,1,1,1,436.930070216668,447.613186190227,461.045440939614,467.240387540282,467.900800657704,469.806586223001,462.223505954176,495.666636678001,446.175262751095,539.295335947425,582.820334215385,558.341747356195,506.360741893478,737.053863430259,551.421988718601,487.217346437388,0.0,1036.12959863964,592.175877007753,1144.31682246227,856.338480562625,770.774265995126,876.438018705321,847.091423225885,816.63694727882,851.325899717622,804.617237505481,767.826786426819,739.255367135868,718.558673603106,698.515652050714,677.776893924347,656.354672735036,641.703761984824,630.345902993859
1,1,1,2,5819.68587958008,5602.40241595191,5414.49685870888,5144.75190839512,4822.92348973941,4524.492106101,4154.01891098274,4139.21643732346,3455.56851497506,3866.1641976887,3851.72893971265,3299.37722492822,2869.99214514857,3321.64895495654,1468.42419772934,2439.55297528208,2988.73193523963,2152.47466911308,1137.01837678408,2382.44749527782,1682.39986592224,1216.13035936275,1053.91990263781,709.501074320914,391.726672042754,111.161383043796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,1,3,2795.18517849605,2999.89143530221,3088.32062587451,3161.66269461655,3213.70149498446,3245.28887814667,3196.03074054824,3359.32977219609,2994.63365182367,3725.90553604621,4101.61242823394,3995.31250623688,4977.02206430739,3324.81745429885,3493.28278885305,3641.93541360925,3040.5156068603,3007.20029518088,4397.49826783901,6145.97937169775,4847.64325641709,4945.49829662145,5001.74245190696,4785.06204996042,4659.93530631434,4645.94343125106,4254.51588330248,3916.97432726175,3614.8886943307198,3351.95176152281,3090.93874275362,2840.73139160955,2593.41189670286,2372.86120770591,2158.66286259564
1,1,1,4,0.0,0.0,0.0,41.7823459947275,102.348083160312,166.88524905357,230.241683240424,314.957141773953,349.2324287184,524.93640027767,682.702938784368,842.989984563776,818.646662626936,742.048618152566,791.725347486659,1824.8036552121,1191.9467256532,1773.66556005337,1098.36700517828,2798.95542126917,2578.15178220938,2897.31179239401,3208.5319914328,3347.75835298569,3581.1895592523,3906.86414968903,3930.84287342028,3972.49463199216,4021.09833517835,4088.59980982711,4138.60832317736,4183.02067574395,4207.69469547669,4235.61432418405,4295.78615368868
1,1,1,5,247.85593294765,291.403130699119,326.780418540779,364.358073668338,401.529542733022,437.939695146802,467.278075426116,518.726582196156,494.849709387352,669.149423448748,794.563113899496,566.674202759286,1390.97446685362,1124.23503082555,979.827949319276,723.60684676604,711.751641302347,518.180404186278,2177.87086049555,2181.18118263809,1950.37265357841,2155.40061223028,2301.75694060897,2345.85406788336,2458.3950921759,2634.82098154145,2623.17607810579,2622.51563138256,2628.23411662039,2649.34725251568,2664.52163763517,2684.40823259426,2700.99517338162,2718.50229568267,2736.93485279663
1,1,1,6,0.0,20.4509628094375,68.6631415440197,124.633447639009,186.539078453944,253.523469952251,322.022721278929,409.568920004504,442.214345617932,679.182783627668,907.162443049496,1259.78815696197,1005.09581529533,1256.70552078385,1235.20825624405,1578.23612981163,2414.959176603,3028.90994794634,3243.05249244078,2971.60098646222,3991.00840855234,4166.25122069052,4554.40715898207,5080.8290653217,5437.40824068625,5334.63546086151,5175.26586707662,5041.10607328683,4927.41028231776,4841.70547508015,4757.16513029975,4678.8070244414,4608.24257609201,4590.59975051073,4578.02606052811
1,1,1,7,299.628217382572,346.991580000478,384.140830669739,427.73462687333,468.170278333415,507.335475187369,541.0811160722,598.709456520745,571.828325108323,785.694192918697,958.176656832547,487.705409822346,1605.96158658826,1260.49155347281,1036.75205402417,1300.94977888138,2368.14923413448,1716.56657990121,1782.247710522,2060.51971999576,2511.60837496552,2662.27110050187,2728.79507352253,2870.79206053801,2844.07975854812,2889.9806042078,2744.36992481399,2624.70430898321,2521.80498085304,2437.127375618,2358.53867895996,2292.12019244701,2234.41646651347,2166.73657604631,2107.42071322091
1,1,1,8,0.0,0.0,0.0,0.0,0.0,0.0,12.8140035789027,48.8765468027442,76.9894078861559,148.323634896548,227.540944034905,432.847849638177,467.544480577756,469.448980367584,250.979428790484,526.921088137706,258.495360387038,863.217800003818,1257.80608552931,1913.56341572094,1387.02056703466,1378.37136768197,1428.31238905771,1577.10952416431,1596.48586501085,1613.01652948019,1536.82795424907,1472.7556265694,1414.94849635228,1363.7771468801,1312.16041442564,1264.2424311858,1218.60378951663,1179.16626153987,1151.33147762848
1,1,1,9,125.57738511275,135.31429882088,140.429058769316,145.235864867079,148.610307259271,148.587961225043,146.707494627825,149.220392917026,130.477597435116,164.748380631292,181.853128467579,321.093012209906,0.0,241.22302618462,0.0,0.791948288150106,0.0,220.883624368868,20.7308727656299,48.6701461557622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,2,1,270.206605287863,237.379079920571,217.313596384177,193.453004126081,174.436254269529,155.400213452147,134.130513794586,129.228003411557,103.626007009503,109.944455050826,109.27754201667,11.7752315072333,12.7235740138136,25.4773888187181,375.954631624976,10.7984774751587,0.0,27.0710160263663,12.7350669772457,26.9008850674494,41.5287377259454,30.9056960696514,27.6516209193798,18.540137477697,10.4610900166349,3.1556532527031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
