gender,status,occupation,qualification,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.07467638258313,5.49961798282543,23.5071946429691,6.08500203560652,35.4881027700709,11.4880108570095,18.5821665279967,31.9193964009925,102.367581206859,27.2258823404408,54.3450156907921,32.9544557780971,51.1639412324119,54.0565565300508,41.9087920042963,47.3182026422381,48.4089601855605,49.1491466426426,49.9073212566406,50.774949195585,51.7638526299529,52.5872902977767,52.9735863816749,53.0818227015072,52.8569377570181
1,1,1,2,284.800144541171,243.813180352895,247.522295672558,259.779713124344,255.047654324344,291.914227126072,281.37982546194,284.255801144904,356.340413339037,329.260612418827,300.21079100654,222.002016110218,277.663380045438,383.124040313395,284.359288417885,276.35985063682,421.589223549309,384.540021864327,386.223952783625,422.028269988344,414.517635382216,237.306293508649,349.49115590547,352.684805515517,261.976055276602,284.754883024176,281.580307157661,277.376354345249,273.932350354583,271.548440878971,270.292520759425,268.653536996695,265.225896911187,260.339981900881,254.294473700956
1,1,1,3,653.248283936353,573.167991176343,578.303204330013,606.554175527026,600.76970869428,682.786193477087,652.507493935593,664.86022491631,831.979378832661,840.408174707793,789.975751836267,799.825747839547,974.479327241341,824.465008166755,752.000763847571,730.006085794218,957.848183844111,873.878073515154,946.674363014404,1106.97635843666,1020.53581803627,1097.93316443321,1071.4827398805,1199.09471508102,1033.48641219923,1091.28126427341,1125.13519343282,1157.8922260465,1194.65426987852,1239.42866426021,1290.47343455008,1346.59397990176,1399.01257001153,1447.29938050824,1493.96535616163
1,1,1,4,558.540018182453,454.985422763261,426.343231281496,415.60743593802,382.550936518902,403.959239981963,359.120690101032,339.301205210646,393.918181844006,368.368568039503,320.035202334952,281.012209229102,260.46685775619,306.976877389621,259.079574199665,220.084277773585,211.434126445407,221.88188326468,192.039555842138,168.847418066771,163.145647788822,154.945818322026,132.875809412253,129.422809771939,95.034256919069,84.2254812257785,70.8141976581501,57.1066198238887,43.3402212646952,29.4854110271046,15.2847024231382,0.677237940394971,0.0,0.0,0.0
1,1,1,5,293.774624979348,242.459604037284,230.321837249349,227.615250140515,212.478303621396,227.811956867873,205.682619455699,198.082939109043,234.301126256927,223.83724120047,198.830013575018,151.286856449522,182.233212839828,219.050776039903,188.508564521018,163.262306616473,157.063972279837,202.649167685387,110.067342340795,150.082183171574,145.904211123585,147.934673306578,135.887876840898,143.002558728499,115.292763729565,114.026557770133,110.043123033613,105.865593396732,101.936933418255,98.4913235517053,95.2617607876656,92.1024344954991,88.3774185190057,84.1763029768499,79.6708187202932
1,1,1,6,667.262692278163,580.102551653049,570.382307924183,583.995751994468,563.190526958014,623.263328810593,560.418844891226,561.262593038418,678.261316396305,709.213844668926,660.55268596285,546.983259744231,729.822348475344,724.449213599738,758.067351025525,827.952843190101,798.147812821652,708.433159579036,722.846264581305,726.022403258463,750.723627127441,742.68742867029,714.279024299175,819.985396151838,738.252481109997,676.042643723013,656.421555842758,636.922426895452,620.666600244564,607.496811947447,597.840168385196,588.950193617271,579.44928681951,568.996797501042,559.432367273601
1,1,1,7,501.195428917629,435.315186027532,426.389785622292,436.96164318203,420.015440760126,465.767965908171,420.676178401779,419.20397588532,511.327627805534,532.305232523628,501.547911970764,455.788500692124,470.537208274249,585.315522424972,544.233611628796,710.377795914913,674.071514189668,663.180937924778,600.641404726917,635.667209043557,650.242920279228,667.457836538341,669.300646490418,735.905669251159,603.355914436103,616.280011761624,605.925888036576,596.106390140517,589.535250485922,586.944965545428,588.907660875265,592.770985351179,596.586391573459,599.92027865322,604.159483004715
1,1,1,8,437.530705850777,378.589117162865,366.709793800114,373.003718341283,357.880017385491,393.910341393131,350.578738476944,344.376899478292,418.997978147227,432.060398353695,406.731948640955,347.108495255962,337.676674008296,340.119933743765,603.34489615468,487.801181949122,286.46832520149,319.465670760389,304.475521210401,244.270102188705,317.175498533887,275.962929534114,261.89893413398,287.744500008675,254.750304264568,236.44472755838,225.980440713804,216.087278763824,207.246274080578,199.528437984302,193.07341477393,187.40190024966,181.670581212965,176.732270219051,172.380271654308
1,1,1,9,27.7754535464697,24.6655278176137,24.9728159657447,25.8666920942665,25.2565255160616,28.2097853174634,25.8174442764518,26.3145485259287,32.4449791870941,34.6309709437713,33.4289264901075,69.0285068909205,0.0,19.7553511099963,27.5604583428815,59.507577736435,25.8832574307407,39.9546571485786,35.367082014244,57.1305222903775,33.5568487119404,33.2619360323898,35.397243440821,40.4871572464902,33.2423755248604,29.3050043645863,27.2053290759493,24.9606291861371,22.579523792604,20.5234186544167,18.6091041402827,16.7992769886269,15.0559807427717,13.2907260689949,11.6789715892341
1,1,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0219711350808179,0.0643940215850278,0.305773516997738,0.0791326391114326,0.34930336099292,0.149194236052461,0.266133265110348,0.400264516943266,1.36377590674814,0.382412886782164,0.698389003217297,0.405556809114744,0.619071483987241,0.612645617643567,0.440601517094092,0.504553208137532,0.501246764341688,0.492969357637998,0.48482263026041,0.478332517279367,0.473906954355779,0.469376573101984,0.463237861475474,0.456146103305268,0.445334847234335
